fips,state_abbr,pollutant,model,season,elevated,damage
25001,MA,pm25,AP2,annual,high stack,48501.6435314357905738447641625133832900
25001,MA,so2,AP2,annual,high stack,26553.248788776620099980441473624725032740
25001,MA,nox,AP2,annual,high stack,772.1370843422386675952956602379150769676
25001,MA,nh3,AP2,annual,high stack,21779.061777959443458030928596316824994128
25001,MA,voc,AP2,annual,high stack,5535.914361658579440988549778705700311412
25001,MA,pm25,EASIUR,annual,high stack,287731.67628062438925597209676822022540212
25001,MA,so2,EASIUR,annual,high stack,93521.02320447301832813465815518325044
25001,MA,nox,EASIUR,annual,high stack,37041.890423314814026436074647591521057256
25001,MA,nh3,EASIUR,annual,high stack,158474.34978306090150820180432714457124768
25001,MA,pm25,EASIUR,winter,high stack,232926.46600054067079914303390009940010152
25001,MA,so2,EASIUR,winter,high stack,37119.015048070516491632494556427702680664
25001,MA,nox,EASIUR,winter,high stack,34196.591216891849443373494348751998965084
25001,MA,nh3,EASIUR,winter,high stack,142443.47167700899313794435181200289749308
25001,MA,pm25,EASIUR,spring,high stack,355181.89026589008513214200851285199642264
25001,MA,so2,EASIUR,spring,high stack,157603.59237183831679322717035067555625876
25001,MA,nox,EASIUR,spring,high stack,69355.42158882624129193365469365357396192
25001,MA,nh3,EASIUR,spring,high stack,269345.30183437813491310827943014067169544
25001,MA,pm25,EASIUR,summer,high stack,356138.76228121144945685443977302567274564
25001,MA,so2,EASIUR,summer,high stack,133410.1120527537135202955138703780564732
25001,MA,nox,EASIUR,summer,high stack,27807.759302905022076105765675576449921088
25001,MA,nh3,EASIUR,summer,high stack,122843.37157187614089072565543518491971908
25001,MA,pm25,EASIUR,fall,high stack,206679.58657485660581531674217503158693672
25001,MA,so2,EASIUR,fall,high stack,45951.37334523027901512415621612833910620
25001,MA,nox,EASIUR,fall,high stack,16807.789584636268712288167601196836840736
25001,MA,nh3,EASIUR,fall,high stack,99265.25404898117321074082215666829914848
25001,MA,pm25,InMAP,annual,high stack,9106.576923972318143896304696448223109268
25001,MA,so2,InMAP,annual,high stack,5641.432439449604895952947894206706468
25001,MA,nox,InMAP,annual,high stack,752.8773701982578219101420939767784140996
25001,MA,nh3,InMAP,annual,high stack,7610.461988586401012899665754474612016100
25001,MA,voc,InMAP,annual,high stack,659.9427237819464286279317018753347952352
25003,MA,pm25,AP2,annual,high stack,100399.61897955273412228784134059604340700
25003,MA,so2,AP2,annual,high stack,43961.67437230782120521813411892759880092
25003,MA,nox,AP2,annual,high stack,1137.0998800389102498074101193371075043940
25003,MA,nh3,AP2,annual,high stack,168761.50801028658459302337727139083122672
25003,MA,voc,AP2,annual,high stack,10913.52858651816826850981816146886314968
25003,MA,pm25,EASIUR,annual,high stack,325949.3202869714372309452590166867672860
25003,MA,so2,EASIUR,annual,high stack,78881.85681113705897400872946946520036496
25003,MA,nox,EASIUR,annual,high stack,40935.721560165771756072609025323882552552
25003,MA,nh3,EASIUR,annual,high stack,197317.8054144612213777836168003840959692
25003,MA,pm25,EASIUR,winter,high stack,385239.70455225191232042483193495498210140
25003,MA,so2,EASIUR,winter,high stack,40277.827816223286167078383908015264967092
25003,MA,nox,EASIUR,winter,high stack,51604.71448509382153809119443096424896428
25003,MA,nh3,EASIUR,winter,high stack,301640.33736243088299977695822726862201088
25003,MA,pm25,EASIUR,spring,high stack,293211.17095476983121328647539379426380232
25003,MA,so2,EASIUR,spring,high stack,103764.89518810523233198028876595648878700
25003,MA,nox,EASIUR,spring,high stack,39866.900778990018650776223653435051366812
25003,MA,nh3,EASIUR,spring,high stack,153583.06131853921822535307587447288856672
25003,MA,pm25,EASIUR,summer,high stack,318371.88122067960450484158199457004415404
25003,MA,so2,EASIUR,summer,high stack,112032.24111371793739457899029019911572112
25003,MA,nox,EASIUR,summer,high stack,15723.869032906360150932620880017239967820
25003,MA,nh3,EASIUR,summer,high stack,138701.64411702326383208385880767641766528
25003,MA,pm25,EASIUR,fall,high stack,306974.52442017980222681274335362601222676
25003,MA,so2,EASIUR,fall,high stack,59452.46312650215625626760610012825836404
25003,MA,nox,EASIUR,fall,high stack,56547.40194367196695280731645891863653940
25003,MA,nh3,EASIUR,fall,high stack,195346.17885985277463348841158024621023196
25003,MA,pm25,InMAP,annual,high stack,157520.88333383062838375869166873208339744
25003,MA,so2,InMAP,annual,high stack,92717.60031875877371398089186886338100476
25003,MA,nox,InMAP,annual,high stack,13336.734146096756080173559007323028215176
25003,MA,nh3,InMAP,annual,high stack,132560.31360446370330240241518913977291060
25003,MA,voc,InMAP,annual,high stack,10367.748183295119087003966698562073097784
25005,MA,pm25,AP2,annual,high stack,127949.53698746241996993673175726220069828
25005,MA,so2,AP2,annual,high stack,48153.66930652627041053892510209618940900
25005,MA,nox,AP2,annual,high stack,1225.1828430570566909902610919991159723740
25005,MA,nh3,AP2,annual,high stack,182216.37312386621471027718217592492212932
25005,MA,voc,AP2,annual,high stack,13962.028881001620688538768609082878625756
25005,MA,pm25,EASIUR,annual,high stack,459114.0214349463710134813344689620700112
25005,MA,so2,EASIUR,annual,high stack,91958.70475693946292819739929972559886928
25005,MA,nox,EASIUR,annual,high stack,48024.33387754638320946632238067811153940
25005,MA,nh3,EASIUR,annual,high stack,228612.84627751398921154380801647378731116
25005,MA,pm25,EASIUR,winter,high stack,389142.17480075131863400537593268115011620
25005,MA,so2,EASIUR,winter,high stack,34968.815590752449314605104215513080248196
25005,MA,nox,EASIUR,winter,high stack,42960.84368928441072728251910816289737796
25005,MA,nh3,EASIUR,winter,high stack,233387.25505161197520734302097497154414244
25005,MA,pm25,EASIUR,spring,high stack,548785.9703772222262796502298509244117728
25005,MA,so2,EASIUR,spring,high stack,149346.51356449200909005099764235269159056
25005,MA,nox,EASIUR,spring,high stack,79752.40830501020792148016229377496856180
25005,MA,nh3,EASIUR,spring,high stack,319978.05891747084656868413749131969644652
25005,MA,pm25,EASIUR,summer,high stack,571622.0910587557035025109162693062799328
25005,MA,so2,EASIUR,summer,high stack,134074.02899695514166162107025725472378432
25005,MA,nox,EASIUR,summer,high stack,31287.768971218636998445337790989237876460
25005,MA,nh3,EASIUR,summer,high stack,210390.18934516027489633331214876924825576
25005,MA,pm25,EASIUR,fall,high stack,326905.84950305539951804692429751793515764
25005,MA,so2,EASIUR,fall,high stack,49445.4608755589623482675328803876274596
25005,MA,nox,EASIUR,fall,high stack,38096.314544672569832556432363681818414256
25005,MA,nh3,EASIUR,fall,high stack,150695.88179581453241323854450167166653064
25005,MA,pm25,InMAP,annual,high stack,41770.719926857979372791279402989110339172
25005,MA,so2,InMAP,annual,high stack,22550.291894067646008685636641826999700376
25005,MA,nox,InMAP,annual,high stack,2512.068952058869871027824944636088631616
25005,MA,nh3,InMAP,annual,high stack,34164.092168876986707472174076810992760652
25005,MA,voc,InMAP,annual,high stack,2529.3558560033792311516537949829051301668
25007,MA,pm25,AP2,annual,high stack,42662.89779001433548468746063961781680836
25007,MA,so2,AP2,annual,high stack,27691.60054366211133441861080220057426456
25007,MA,nox,AP2,annual,high stack,836.654482615047000365497582049812147176
25007,MA,nh3,AP2,annual,high stack,36158.139243920364262964232739145815164324
25007,MA,voc,AP2,annual,high stack,4887.38552214683860427978858497611446448
25007,MA,pm25,EASIUR,annual,high stack,302159.03654920308060581931881841696322404
25007,MA,so2,EASIUR,annual,high stack,96147.20937152508480082548274670105522208
25007,MA,nox,EASIUR,annual,high stack,41300.285900659696550198659524355496642820
25007,MA,nh3,EASIUR,annual,high stack,163316.04327552142459249113186367308144276
25007,MA,pm25,EASIUR,winter,high stack,246020.80880991886010692649642623147912824
25007,MA,so2,EASIUR,winter,high stack,40475.213387976238611007669169305074896688
25007,MA,nox,EASIUR,winter,high stack,38752.425749856888372933318348228980053644
25007,MA,nh3,EASIUR,winter,high stack,159620.12937491248679997980052213995973948
25007,MA,pm25,EASIUR,spring,high stack,376596.12130662429015740218315233101078844
25007,MA,so2,EASIUR,spring,high stack,160942.25018092129440053129802695779354032
25007,MA,nox,EASIUR,spring,high stack,77931.15425418459612172841028092656780512
25007,MA,nh3,EASIUR,spring,high stack,275392.04403237297732517745594691019451940
25007,MA,pm25,EASIUR,summer,high stack,382003.95695233230050952223409546950519848
25007,MA,so2,EASIUR,summer,high stack,137881.37635165044841328462047684973440380
25007,MA,nox,EASIUR,summer,high stack,29843.989212877259159178770094182171462172
25007,MA,nh3,EASIUR,summer,high stack,126186.07924881408287239460025093295169460
25007,MA,pm25,EASIUR,fall,high stack,204015.25912793603552971447007421735471564
25007,MA,so2,EASIUR,fall,high stack,45289.99756555177249468001924589866590176
25007,MA,nox,EASIUR,fall,high stack,18673.574385720209770896517679167967863416
25007,MA,nh3,EASIUR,fall,high stack,92065.92044598489719284483344658146521952
25007,MA,pm25,InMAP,annual,high stack,14609.778326208081741550326440949276680148
25007,MA,so2,InMAP,annual,high stack,8691.996233037853202734983845297103583992
25007,MA,nox,InMAP,annual,high stack,1002.9497997025212710525616129649623556656
25007,MA,nh3,InMAP,annual,high stack,12327.286497469721152023564099377589775884
25007,MA,voc,InMAP,annual,high stack,973.6552486756673791897330992556805368848
25009,MA,pm25,AP2,annual,high stack,95252.95530767398819888676047627888359540
25009,MA,so2,AP2,annual,high stack,34898.888220189638364122687230683191064324
25009,MA,nox,AP2,annual,high stack,1358.8324110081139011334863431524660308768
25009,MA,nh3,AP2,annual,high stack,159785.14628690581200322256007641896534836
25009,MA,voc,AP2,annual,high stack,10434.097432198213063347662198002481505756
25009,MA,pm25,EASIUR,annual,high stack,480630.7895698869722681475675238883960748
25009,MA,so2,EASIUR,annual,high stack,97574.79256104805787397213187997908362864
25009,MA,nox,EASIUR,annual,high stack,55061.91431130837302729904466966567490304
25009,MA,nh3,EASIUR,annual,high stack,229637.89143645695312829974356969043228292
25009,MA,pm25,EASIUR,winter,high stack,392843.8975583801809176915747991956759528
25009,MA,so2,EASIUR,winter,high stack,31657.801627682018180553612671143952931456
25009,MA,nox,EASIUR,winter,high stack,41527.902022175658397415744188609548648144
25009,MA,nh3,EASIUR,winter,high stack,226673.99433676659092556579535800943345392
25009,MA,pm25,EASIUR,spring,high stack,625340.4750119882869570397623243144956504
25009,MA,so2,EASIUR,spring,high stack,171393.20103088895561440255012991414783352
25009,MA,nox,EASIUR,spring,high stack,107396.13754334444224092521387621990129052
25009,MA,nh3,EASIUR,spring,high stack,319587.37256915665756665807632082575060580
25009,MA,pm25,EASIUR,summer,high stack,562854.5468288018273625137626217722434384
25009,MA,so2,EASIUR,summer,high stack,136941.54659923877652341813609043963290472
25009,MA,nox,EASIUR,summer,high stack,32304.107344998887560790844649777926059388
25009,MA,nh3,EASIUR,summer,high stack,202665.94135226588749774721803656255962916
25009,MA,pm25,EASIUR,fall,high stack,341484.23888037424935649760424859715699616
25009,MA,so2,EASIUR,fall,high stack,50306.62098638340090919730930637895421676
25009,MA,nox,EASIUR,fall,high stack,39019.510334715549059704240370828452445808
25009,MA,nh3,EASIUR,fall,high stack,169624.2574876386765232278845633639854428
25009,MA,pm25,InMAP,annual,high stack,47316.47575259755309471516786499813029272
25009,MA,so2,InMAP,annual,high stack,23117.725130675533804882115862180243324864
25009,MA,nox,InMAP,annual,high stack,2266.3028899415576212563167989709851175424
25009,MA,nh3,InMAP,annual,high stack,34739.627639393663023982293657268206437948
25009,MA,voc,InMAP,annual,high stack,2278.000090245721805252518042832670831516
25011,MA,pm25,AP2,annual,high stack,107008.68684336429776340871973414665174776
25011,MA,so2,AP2,annual,high stack,41878.58941715949554132047949538429529860
25011,MA,nox,AP2,annual,high stack,1044.6325616032160097993316731195185419548
25011,MA,nh3,AP2,annual,high stack,178008.83893542430983336873865029699726588
25011,MA,voc,AP2,annual,high stack,11572.93306065829118765460121504224742164
25011,MA,pm25,EASIUR,annual,high stack,330416.72081789737922000960569839962967984
25011,MA,so2,EASIUR,annual,high stack,78448.84675902977489268174060022047165288
25011,MA,nox,EASIUR,annual,high stack,39177.856245294796901831367582250526307684
25011,MA,nh3,EASIUR,annual,high stack,198313.91815498238688034673929077087933588
25011,MA,pm25,EASIUR,winter,high stack,384693.1132090232992721566888470829662168
25011,MA,so2,EASIUR,winter,high stack,39429.123845864363305052104400724634582824
25011,MA,nox,EASIUR,winter,high stack,51626.77151521376289821844985712139512364
25011,MA,nh3,EASIUR,winter,high stack,287305.72438916867015438675710676762234604
25011,MA,pm25,EASIUR,spring,high stack,299933.48449834986303671646320404618328736
25011,MA,so2,EASIUR,spring,high stack,106255.2622525015517794072234270388141772
25011,MA,nox,EASIUR,spring,high stack,39771.427242053103687196976649121278367488
25011,MA,nh3,EASIUR,spring,high stack,158598.15830862909042212099087285186510712
25011,MA,pm25,EASIUR,summer,high stack,326088.24418808751941108352022793159263776
25011,MA,so2,EASIUR,summer,high stack,108870.08272525579200610904292995193130224
25011,MA,nox,EASIUR,summer,high stack,14599.402319771772220088244955752482376132
25011,MA,nh3,EASIUR,summer,high stack,150048.98788568288316233806533829955911980
25011,MA,pm25,EASIUR,fall,high stack,310952.04137612465456152229288744526125064
25011,MA,so2,EASIUR,fall,high stack,59240.91821249647274847551096520615317736
25011,MA,nox,EASIUR,fall,high stack,50713.82390413983810006669107040122175792
25011,MA,nh3,EASIUR,fall,high stack,197302.80203644973990225303537058297383592
25011,MA,pm25,InMAP,annual,high stack,108869.02558110533306404421957241772341900
25011,MA,so2,InMAP,annual,high stack,65811.40107093752607147041343893262049944
25011,MA,nox,InMAP,annual,high stack,7930.259110847501330550441536952904509816
25011,MA,nh3,InMAP,annual,high stack,89131.12812781918978764678374020188237936
25011,MA,voc,InMAP,annual,high stack,6792.943540246767141194479446427832220768
25013,MA,pm25,AP2,annual,high stack,109554.87567593018871709102597128779928948
25013,MA,so2,AP2,annual,high stack,41633.588097237521477474728931337311173308
25013,MA,nox,AP2,annual,high stack,1064.0640026938512108719049629132180260176
25013,MA,nh3,AP2,annual,high stack,193736.25085435378895753945144512334534580
25013,MA,voc,AP2,annual,high stack,11846.874628659236261929460313341425442484
25013,MA,pm25,EASIUR,annual,high stack,389960.15615441205177284331111636936457668
25013,MA,so2,EASIUR,annual,high stack,80234.13563466784837782795631392319026708
25013,MA,nox,EASIUR,annual,high stack,44788.77372946676787474283771295536852476
25013,MA,nh3,EASIUR,annual,high stack,218205.67231917961728870243508657208681172
25013,MA,pm25,EASIUR,winter,high stack,438380.1614312301016703672137294768898088
25013,MA,so2,EASIUR,winter,high stack,38779.573407928371682331819044604243267148
25013,MA,nox,EASIUR,winter,high stack,54035.34695126648629084203304280882297820
25013,MA,nh3,EASIUR,winter,high stack,315671.92882544187190338039293938214420508
25013,MA,pm25,EASIUR,spring,high stack,365333.92291132335952596855024160589547144
25013,MA,so2,EASIUR,spring,high stack,108763.09909735178105289348721452149128944
25013,MA,nox,EASIUR,spring,high stack,47206.83549010279116792901611575988386484
25013,MA,nh3,EASIUR,spring,high stack,179647.38879064340625172842578399120390916
25013,MA,pm25,EASIUR,summer,high stack,404524.74768268063453357998355621614548196
25013,MA,so2,EASIUR,summer,high stack,112343.226483630595424814531728245003020
25013,MA,nox,EASIUR,summer,high stack,17107.52848710964478971878318955179566712
25013,MA,nh3,EASIUR,summer,high stack,171831.89094571199498879158561989727037052
25013,MA,pm25,EASIUR,fall,high stack,351601.79259241578360088127998901553367524
25013,MA,so2,EASIUR,fall,high stack,61050.64354976026909740163608188369711232
25013,MA,nox,EASIUR,fall,high stack,60805.38398938814925048151850370097158888
25013,MA,nh3,EASIUR,fall,high stack,205671.48071491910571162960718947147109872
25013,MA,pm25,InMAP,annual,high stack,113267.97075188151555347371394998183692552
25013,MA,so2,InMAP,annual,high stack,66665.80545620549980649182331914337784252
25013,MA,nox,InMAP,annual,high stack,8074.621064563512814612952207583764932176
25013,MA,nh3,InMAP,annual,high stack,93472.27880750271634913495809387475645472
25013,MA,voc,InMAP,annual,high stack,6993.91284956584259335410126318361063692
25015,MA,pm25,AP2,annual,high stack,117706.76291144747029348676125777936538976
25015,MA,so2,AP2,annual,high stack,43266.35726229511477836267283616803094508
25015,MA,nox,AP2,annual,high stack,1078.5792882668918046860392077427312632648
25015,MA,nh3,AP2,annual,high stack,198967.01636181207020121608905740739245324
25015,MA,voc,AP2,annual,high stack,12680.874513462186880785408490950102686124
25015,MA,pm25,EASIUR,annual,high stack,361628.07396017128207553802483037417629156
25015,MA,so2,EASIUR,annual,high stack,79029.77991396093815051596600901934533652
25015,MA,nox,EASIUR,annual,high stack,41704.065816481225781333437762335345712116
25015,MA,nh3,EASIUR,annual,high stack,210852.59178617880475146472062121699596516
25015,MA,pm25,EASIUR,winter,high stack,413388.8338161272211270137231882766738420
25015,MA,so2,EASIUR,winter,high stack,39279.216115233236284269076530728500502472
25015,MA,nox,EASIUR,winter,high stack,52986.30973593544953355873258778034512508
25015,MA,nh3,EASIUR,winter,high stack,304489.80257918457347889981418188009030336
25015,MA,pm25,EASIUR,spring,high stack,335656.10314576128591193958818314851773536
25015,MA,so2,EASIUR,spring,high stack,107540.39153748726750092721963316622646072
25015,MA,nox,EASIUR,spring,high stack,43675.13819044768307181853101826532655264
25015,MA,nh3,EASIUR,spring,high stack,169592.57463012906158330517021940924831008
25015,MA,pm25,EASIUR,summer,high stack,363897.14406436745886118321125541925773332
25015,MA,so2,EASIUR,summer,high stack,109483.10405425867598553146301351441488148
25015,MA,nox,EASIUR,summer,high stack,15121.231255813789610482081902100043157312
25015,MA,nh3,EASIUR,summer,high stack,166520.58579707340827285650381583759009496
25015,MA,pm25,EASIUR,fall,high stack,333570.21481443292494071908855903551964968
25015,MA,so2,EASIUR,fall,high stack,59816.40794886474005527848316375194011448
25015,MA,nox,EASIUR,fall,high stack,55033.58408372739562567608147340271586768
25015,MA,nh3,EASIUR,fall,high stack,202807.40413832859373065334003045030668492
25015,MA,pm25,InMAP,annual,high stack,136401.02165577215521826727800405516862540
25015,MA,so2,InMAP,annual,high stack,80695.81920781676657991827126987804470632
