fips,state_abbr,pollutant,model,season,elevated,damage
25001,MA,pm25,AP2,annual,ground level,152238.14710279442785454002362118291318260
25001,MA,so2,AP2,annual,ground level,55499.83791559398114917501197338909870048
25001,MA,nox,AP2,annual,ground level,1076.3608431355006991422952694749426221524
25001,MA,nh3,AP2,annual,ground level,38455.686183955725434943232838501078936148
25001,MA,voc,AP2,annual,ground level,15057.638470133720373287650710905560638024
25001,MA,pm25,EASIUR,annual,ground level,538972.2750682422502897413509557780756524
25001,MA,so2,EASIUR,annual,ground level,117600.19585434921153694743587311805889348
25001,MA,nox,EASIUR,annual,ground level,56656.28024868423662002974230682923925060
25001,MA,nh3,EASIUR,annual,ground level,269565.19465543969571868912217986184885536
25001,MA,pm25,EASIUR,winter,ground level,419704.8921669465160973064940888764190140
25001,MA,so2,EASIUR,winter,ground level,38239.550500704471090831149333397689781732
25001,MA,nox,EASIUR,winter,ground level,38251.965530721653136611703192400471486644
25001,MA,nh3,EASIUR,winter,ground level,234984.13411866891079124315053467925600272
25001,MA,pm25,EASIUR,spring,ground level,671381.0651987224175733435651826499063136
25001,MA,so2,EASIUR,spring,ground level,208881.71090517121071442212951734496724824
25001,MA,nox,EASIUR,spring,ground level,133627.86986241480546635266993287758773404
25001,MA,nh3,EASIUR,spring,ground level,469021.5250878365532245823518926357189404
25001,MA,pm25,EASIUR,summer,ground level,674133.0738363985725207450027225976665984
25001,MA,so2,EASIUR,summer,ground level,174622.37162327112353831232884277983547108
25001,MA,nox,EASIUR,summer,ground level,39095.579425821722123614761093787752149328
25001,MA,nh3,EASIUR,summer,ground level,196949.92671581274477923176714151334591096
25001,MA,pm25,EASIUR,fall,ground level,390670.06907089689630915493843918654382412
25001,MA,so2,EASIUR,fall,ground level,48657.15038824916287852664969726031485424
25001,MA,nox,EASIUR,fall,ground level,15649.706175777762409885565177748941953956
25001,MA,nh3,EASIUR,fall,ground level,177305.1926994397379599873276252005715020
25001,MA,pm25,InMAP,annual,ground level,67147.90258875804155362380098645270376852
25001,MA,so2,InMAP,annual,ground level,16675.0291221824296511817143898384157236
25001,MA,nox,InMAP,annual,ground level,4376.861470408308463304131365969046509588
25001,MA,nh3,InMAP,annual,ground level,57748.30979939039049015132371661069277392
25001,MA,voc,InMAP,annual,ground level,4737.829735524502805891350217467408125504
25003,MA,pm25,AP2,annual,ground level,225829.55739465175228705743811063395463860
25003,MA,so2,AP2,annual,ground level,74011.96529775159390036452091964978099428
25003,MA,nox,AP2,annual,ground level,1493.1534111478762999091383295670866265024
25003,MA,nh3,AP2,annual,ground level,368130.830942152865413472173354006229328
25003,MA,voc,AP2,annual,ground level,21917.477270204029556322897532500026281176
25003,MA,pm25,EASIUR,annual,ground level,723304.5309963243316740086158120447208172
25003,MA,so2,EASIUR,annual,ground level,90514.84032809917345777542316641808608192
25003,MA,nox,EASIUR,annual,ground level,56763.21292923351853184835542627758322976
25003,MA,nh3,EASIUR,annual,ground level,421682.531823246772588197771660728629428
25003,MA,pm25,EASIUR,winter,ground level,857983.7881718713637043532923631808501124
25003,MA,so2,EASIUR,winter,ground level,52562.08041768182538915411158957736045096
25003,MA,nox,EASIUR,winter,ground level,79179.12226111621132579724752573956595128
25003,MA,nh3,EASIUR,winter,ground level,668132.0988327792199221334015799643832860
25003,MA,pm25,EASIUR,spring,ground level,637571.891298350171698995037653196783332
25003,MA,so2,EASIUR,spring,ground level,116223.01734124690783759309310543118588180
25003,MA,nox,EASIUR,spring,ground level,64915.01576508042769952695041409880739300
25003,MA,nh3,EASIUR,spring,ground level,321572.49404196733554039886372592850471780
25003,MA,pm25,EASIUR,summer,ground level,687997.8898179428196678146486006579857944
25003,MA,so2,EASIUR,summer,ground level,125913.94446420637177239662231574809523276
25003,MA,nox,EASIUR,summer,ground level,25036.879740780979293447692430377141149752
25003,MA,nh3,EASIUR,summer,ground level,265144.47850955518871969535741367391607684
25003,MA,pm25,EASIUR,fall,ground level,709664.5546971329716248714846311432640300
25003,MA,so2,EASIUR,fall,ground level,67360.31908926117077210191989220645122948
25003,MA,nox,EASIUR,fall,ground level,57921.83394995578691285201811456001597272
25003,MA,nh3,EASIUR,fall,ground level,431881.0559086886906494110300250217258928
25003,MA,pm25,InMAP,annual,ground level,159619.80136413529854403370143695501345780
25003,MA,so2,InMAP,annual,ground level,107337.5103350822396262621559617569727192
25003,MA,nox,InMAP,annual,ground level,20724.257067333448130291352275017431426924
25003,MA,nh3,InMAP,annual,ground level,152155.53897526205927331574136741275919136
25003,MA,voc,InMAP,annual,ground level,13035.374131143391954858165541459520111864
25005,MA,pm25,AP2,annual,ground level,410682.12009115411635651427718969756181420
25005,MA,so2,AP2,annual,ground level,108705.37801178179049531482705018138990368
25005,MA,nox,AP2,annual,ground level,2122.231915457985524697044050510259879208
25005,MA,nh3,AP2,annual,ground level,573812.5841950223439737689443371313023256
25005,MA,voc,AP2,annual,ground level,39679.996927282987504050395777451453668268
25005,MA,pm25,EASIUR,annual,ground level,1057823.3578323677936285226260528747654496
25005,MA,so2,EASIUR,annual,ground level,111030.98817571369588175961437306460826620
25005,MA,nox,EASIUR,annual,ground level,74392.01130090814372606245373890439541628
25005,MA,nh3,EASIUR,annual,ground level,577760.9787059378756864018515252651611708
25005,MA,pm25,EASIUR,winter,ground level,911181.7066636748871964021661961884872260
25005,MA,so2,EASIUR,winter,ground level,42137.54079977967777149669098112680041768
25005,MA,nox,EASIUR,winter,ground level,65913.20634805923578272294401624396869844
25005,MA,nh3,EASIUR,winter,ground level,612245.4559856442801922460719169306401368
25005,MA,pm25,EASIUR,spring,ground level,1230411.9393251256511004262290112737427288
25005,MA,so2,EASIUR,spring,ground level,185383.83703323113405242873613222468459172
25005,MA,nox,EASIUR,spring,ground level,143313.63513148806417140470479777988994064
25005,MA,nh3,EASIUR,spring,ground level,800673.3462791675421912421304637661774860
25005,MA,pm25,EASIUR,summer,ground level,1291001.2581735906488562872573948081823540
25005,MA,so2,EASIUR,summer,ground level,161937.62809068467311044990134517396470004
25005,MA,nox,EASIUR,summer,ground level,49806.68376398079345442111694639525082864
25005,MA,nh3,EASIUR,summer,ground level,511092.0424690598701510371436837188000660
25005,MA,pm25,EASIUR,fall,ground level,798698.5271670799873609748516092286494896
25005,MA,so2,EASIUR,fall,ground level,54664.94677915971665251907479644223488804
25005,MA,nox,EASIUR,fall,ground level,38534.519960104941361542589534178648883348
25005,MA,nh3,EASIUR,fall,ground level,387033.07008987855603151422274851727239636
25005,MA,pm25,InMAP,annual,ground level,527461.2784303044285186391138411945469172
25005,MA,so2,InMAP,annual,ground level,58654.47641221129847812585696275120425436
25005,MA,nox,InMAP,annual,ground level,25285.702734177101959513462619956459222884
25005,MA,nh3,InMAP,annual,ground level,417428.44027173059950331010148482335544252
25005,MA,voc,InMAP,annual,ground level,27190.175300472405073779241284000645192804
25007,MA,pm25,AP2,annual,ground level,89679.23864384194848287926250658506424156
25007,MA,so2,AP2,annual,ground level,42684.44168488222987381914350008330738392
25007,MA,nox,AP2,annual,ground level,925.6153305470509651797496384069907534424
25007,MA,nh3,AP2,annual,ground level,68904.33409422096188836390746713996008236
25007,MA,voc,AP2,annual,ground level,8993.40303464461130767404692847520439940
25007,MA,pm25,EASIUR,annual,ground level,577181.3575502689297009044837481960736028
25007,MA,so2,EASIUR,annual,ground level,119497.45364771238978097242212222531343828
25007,MA,nox,EASIUR,annual,ground level,63004.56086984260584565273079747078727468
25007,MA,nh3,EASIUR,annual,ground level,288618.98272636278660903079758405015716508
25007,MA,pm25,EASIUR,winter,ground level,443196.4017722368544185057115981846849448
25007,MA,so2,EASIUR,winter,ground level,44551.82184651689179310340732037514489172
25007,MA,nox,EASIUR,winter,ground level,42957.26308462193349131791483645592247576
25007,MA,nh3,EASIUR,winter,ground level,258048.56706465632374830427513073250039132
25007,MA,pm25,EASIUR,spring,ground level,727034.5542434663014238550213648650368536
25007,MA,so2,EASIUR,spring,ground level,212948.15678152590713750669363758574156376
25007,MA,nox,EASIUR,spring,ground level,148947.84782597693462210566867756343245452
25007,MA,nh3,EASIUR,spring,ground level,504972.4049123840875008151834976882045808
25007,MA,pm25,EASIUR,summer,ground level,749068.4724732762640848239815810951422432
25007,MA,so2,EASIUR,summer,ground level,171810.42411800087041139387532699010406484
25007,MA,nox,EASIUR,summer,ground level,43311.46305445093241892046333010942492712
25007,MA,nh3,EASIUR,summer,ground level,221973.78000644808007720437221063571966012
25007,MA,pm25,EASIUR,fall,ground level,389426.00171208668349974646790632664511796
25007,MA,so2,EASIUR,fall,ground level,48679.41184480463560231787491582250863476
25007,MA,nox,EASIUR,fall,ground level,16801.669514320288402382119735586968015176
25007,MA,nh3,EASIUR,fall,ground level,169481.178921960146750663684920888694832
25007,MA,pm25,InMAP,annual,ground level,103930.6538732406699548244325770803426208
25007,MA,so2,InMAP,annual,ground level,27835.620250004981444576255773150856409432
25007,MA,nox,InMAP,annual,ground level,5854.145702448582005281420847920726645032
25007,MA,nh3,InMAP,annual,ground level,91221.28156882001465399485015767554044236
25007,MA,voc,InMAP,annual,ground level,6766.119275829857862709341946491142330992
25009,MA,pm25,AP2,annual,ground level,350124.65098620117311233454045158566284568
25009,MA,so2,AP2,annual,ground level,86452.17056706430227551021425763179384164
25009,MA,nox,AP2,annual,ground level,2262.5713812014056071461954743596470702832
25009,MA,nh3,AP2,annual,ground level,572685.8500142451699490106261873276230752
25009,MA,voc,AP2,annual,ground level,33835.481569524886354781258119371789469332
25009,MA,pm25,EASIUR,annual,ground level,1105512.9807691528043610034996471209888816
25009,MA,so2,EASIUR,annual,ground level,117703.0116214336796578747898712130144896
25009,MA,nox,EASIUR,annual,ground level,87954.66524229430590863362931710528802508
25009,MA,nh3,EASIUR,annual,ground level,592964.4463493444752795526533302450995604
25009,MA,pm25,EASIUR,winter,ground level,939222.7409027344416967589903376594908424
25009,MA,so2,EASIUR,winter,ground level,36386.081064629174629281643817342869010004
25009,MA,nox,EASIUR,winter,ground level,64424.25069364977958616076770376069710376
25009,MA,nh3,EASIUR,winter,ground level,626135.5167827016288013409885454917023128
25009,MA,pm25,EASIUR,spring,ground level,1439275.6942281860868576783371383324517652
25009,MA,so2,EASIUR,spring,ground level,211703.05170789704046535531221217293797436
25009,MA,nox,EASIUR,spring,ground level,188534.98797244327948575131733841996195104
25009,MA,nh3,EASIUR,spring,ground level,856572.9630052073442198643733836445312676
25009,MA,pm25,EASIUR,summer,ground level,1229747.0613613797024106741908609571085064
25009,MA,so2,EASIUR,summer,ground level,165927.88637575498942636827858890821638324
25009,MA,nox,EASIUR,summer,ground level,61209.71758927352389133992502984110888128
