fips,state_abbr,pollutant,model,season,elevated,damage
25,MA,pm25,AP2,annual,high stack,154349.1101397255739638191826064649448324
25,MA,so2,AP2,annual,high stack,53374.54277854766507616517098670823525676
25,MA,nox,AP2,annual,high stack,1257.8569949494221811344918460616621661708
25,MA,nh3,AP2,annual,high stack,256441.67026137819187368980726986489246704
25,MA,voc,AP2,annual,high stack,16522.84016872975775681140382349388625580
25,MA,pm25,EASIUR,annual,high stack,491205.6635910022011692247743834436387588
25,MA,so2,EASIUR,annual,high stack,92416.88218480346950945115986710098144736
25,MA,nox,EASIUR,annual,high stack,52290.00104011078470218108905532856814500
25,MA,nh3,EASIUR,annual,high stack,233338.80500583750273617898630343487844504
25,MA,pm25,EASIUR,winter,high stack,423654.2818270790946633927070181325485844
25,MA,so2,EASIUR,winter,high stack,33067.722372129555539398513781058708790380
25,MA,nox,EASIUR,winter,high stack,44751.85853272187776707118481125499949576
25,MA,nh3,EASIUR,winter,high stack,256653.8652254210186869571073886650214860
25,MA,pm25,EASIUR,spring,high stack,588936.0558242999569018457551287224921208
25,MA,so2,EASIUR,spring,high stack,152931.4093511139870744408972810500748108
25,MA,nox,EASIUR,spring,high stack,86983.75637474684166724505041724304126660
25,MA,nh3,EASIUR,spring,high stack,289609.37208792481515950245051496544478764
25,MA,pm25,EASIUR,summer,high stack,589251.4066567350223409009819175287568432
25,MA,so2,EASIUR,summer,high stack,131223.05011998846232123526789931341892564
25,MA,nox,EASIUR,summer,high stack,30631.830017348596451298507439117669287852
25,MA,nh3,EASIUR,summer,high stack,204007.26004044244553790938640495059724948
25,MA,pm25,EASIUR,fall,high stack,362980.91005589347659119181618126300288876
25,MA,so2,EASIUR,fall,high stack,52445.34689598208213265793338833634902896
25,MA,nox,EASIUR,fall,high stack,46792.55923562494499741212745200913431116
25,MA,nh3,EASIUR,fall,high stack,183084.72266956173156034700090515845025704
25,MA,pm25,InMAP,annual,high stack,78518.47979897265910132466291413676738004
25,MA,so2,InMAP,annual,high stack,40955.713078266565329488044410075278650128
25,MA,nox,InMAP,annual,high stack,4420.599320983071104969318952419152878828
25,MA,nh3,InMAP,annual,high stack,61027.15930925112110692647360201502459608
25,MA,voc,InMAP,annual,high stack,4255.798240310856320502441638823885118692
