fips,state_abbr,pollutant,model,season,elevated,damage
25,MA,pm25,AP2,annual,ground level,529987.6241101568859995328431726251621392
25,MA,so2,AP2,annual,ground level,134721.44107294882018589138207042982620268
25,MA,nox,AP2,annual,ground level,2298.1661432720123620663343131132701048792
25,MA,nh3,AP2,annual,ground level,862392.9648395541021108395992071128874420
25,MA,voc,AP2,annual,ground level,50805.67799064434232815993862296840931180
25,MA,pm25,EASIUR,annual,ground level,1174583.2139044389372571030171278538420236
25,MA,so2,EASIUR,annual,ground level,109240.38299475657381573565607608051955388
25,MA,nox,EASIUR,annual,ground level,82013.90550689690672854032681588140601408
25,MA,nh3,EASIUR,annual,ground level,621920.3465152209855981091247511440275824
25,MA,pm25,EASIUR,winter,ground level,1047123.6800938243875338932390374151217556
25,MA,so2,EASIUR,winter,ground level,41043.166885248943401577661506265924170728
25,MA,nox,EASIUR,winter,ground level,74619.46113351803819723544143763492784392
25,MA,nh3,EASIUR,winter,ground level,723160.2501063027644426424391712896855104
25,MA,pm25,EASIUR,spring,ground level,1382527.7267757958755520944218513644949808
25,MA,so2,EASIUR,spring,ground level,183621.78722404266810968349998202547815864
25,MA,nox,EASIUR,spring,ground level,151183.76997184023246821446374049409201544
25,MA,nh3,EASIUR,spring,ground level,787665.9640596236612837274218782883150220
25,MA,pm25,EASIUR,summer,ground level,1354899.3567209564890393122092703818482056
25,MA,so2,EASIUR,summer,ground level,153595.25420570136377221946016021795347460
25,MA,nox,EASIUR,summer,ground level,53493.06130711039642260696577641150331992
25,MA,nh3,EASIUR,summer,ground level,503132.6178012054037970769715866227744112
25,MA,pm25,EASIUR,fall,ground level,913782.0920271873581002311136064389338060
25,MA,so2,EASIUR,fall,ground level,58701.32366403273469566367858801977026580
25,MA,nox,EASIUR,fall,ground level,48759.32961511895982610443630898510087704
25,MA,nh3,EASIUR,fall,ground level,473722.5540937521128689896663683753353860
25,MA,pm25,InMAP,annual,ground level,957653.6688688686613245894193628799394824
25,MA,so2,InMAP,annual,ground level,85812.94428480825311520251750478294857616
25,MA,nox,InMAP,annual,ground level,34546.784209730809757310564414694937667264
25,MA,nh3,InMAP,annual,ground level,653613.2394214062718433999339179944618876
25,MA,voc,InMAP,annual,ground level,35163.562756788122993840815783722323135196
