"SECTOR","STATE","STATE_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Carbon Dioxide","GHG","27398898.467518","TON"
"Industrial Processes - NEC","MA","25","Carbon Dioxide","GHG","16090958.05982465","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Carbon Dioxide","GHG","4698757.4381713","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Carbon Dioxide","GHG","1632264.0282071","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Carbon Dioxide","GHG","1153377.798697411","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Carbon Dioxide","GHG","799207.9329912","TON"
"Mobile - Aircraft","MA","25","Carbon Dioxide","GHG","544949.3946116","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Carbon Dioxide","GHG","385917.12306","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Carbon Dioxide","GHG","353761.608062206","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Carbon Monoxide","CAP","273611.84857728","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Carbon Monoxide","CAP","218623.8372572673","TON"
"Biogenics - Vegetation and Soil","MA","25","Volatile Organic Compounds","CAP","93425.9582","TON"
"Fuel Comb - Residential - Wood","MA","25","Carbon Monoxide","CAP","33967.57584293","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Nitrogen Oxides","CAP","23922.411101743","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Volatile Organic Compounds","CAP","22027.600288432","TON"
"Waste Disposal","MA","25","Carbon Monoxide","CAP","20163.42641425","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Volatile Organic Compounds","CAP","18090.6822652534","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Volatile Organic Compounds","CAP","17082.7291391565","TON"
"Fires - Wildfires","MA","25","Carbon Dioxide","GHG","16486.932623","TON"
"Solvent - Industrial Surface Coating & Solvent Use","MA","25","Volatile Organic Compounds","CAP","16043.134194","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Nitrogen Oxides","CAP","15368.4660701854","TON"
"Mobile - Aircraft","MA","25","Lead","CAP/HAP","14653.75088318","LB"
"Industrial Processes - NEC","MA","25","Methane","GHG","14331.1176398435","TON"
"Biogenics - Vegetation and Soil","MA","25","Carbon Monoxide","CAP","12054.85685","TON"
"Dust - Unpaved Road Dust","MA","25","PM10 Primary (Filt + Cond)","CAP","11475.1871","TON"
"Dust - Construction Dust","MA","25","PM10 Primary (Filt + Cond)","CAP","10931.3954366","TON"
"Agriculture - Crops & Livestock Dust","MA","25","PM10 Primary (Filt + Cond)","CAP","10868.286217061","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Carbon Monoxide","CAP","10625.43860033","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Nitrogen Oxides","CAP","9570.07184957084","TON"
"Solvent - Non-Industrial Surface Coating","MA","25","Volatile Organic Compounds","CAP","8709.22642","TON"
"Fuel Comb - Electric Generation - Oil","MA","25","Carbon Dioxide","GHG","8403.6","TON"
"Dust - Paved Road Dust","MA","25","PM10 Primary (Filt + Cond)","CAP","8170.17259","TON"
"Mobile - Aircraft","MA","25","Carbon Monoxide","CAP","8167.493990908","TON"
"Agriculture - Livestock Waste","MA","25","Ammonia","CAP","6253.561621804","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","Nitrogen Oxides","CAP","5874.905017","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Nitrogen Oxides","CAP","5695.506866","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Carbon Monoxide","CAP","5538.694777972","TON"
